what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299652783013
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299652783477
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299652785622
closed,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1299652785622
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299652787448
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299652787448
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299652788239
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1299652789140
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299652789506
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299652897986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299652904486
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299652916472
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1299652917715
started,bundle,org.eclipse.jst.ejb.ui,1.1.502.v201101121843,"org.eclipse.jst.ejb.ui",1299652919153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299652919328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299652920310
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1299652920325
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299652920797
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1299652920855
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299652926773
